Sitename,Country,Latitude,Longitude,LAI,Time of Measurement,Year_LAI,Methodology/ remarks,Biome,Biomecover,Dominant species,Author,Year_pub,ANPP,BNPP,TNPP,Elevation (m),Age,Remarks/ original source,Unnamed: 19
N/A                                                               , Venezuela          ,1.93,-67.05,6,                      N/A ,1991, X                                                      ,TREBL                             , Forest / TrEBL    , N/A                                                      , Saldarriaga and Luxmoore                 ,1991,656,-999,-999,119,-999,                                                                                               ,
N/A                                                               , Venezuela          ,1.93,-67.05,6.1,                      N/A ,1991, X                                                      ,TREBL                             , Forest / TrEBL    , N/A                                                      , Saldarriaga and Luxmoore                 ,1991,627,-999,-999,119,-999,                                                                                               ,
N/A                                                               , Venezuela          ,1.93,-67.05,6.3,                      N/A ,1991, X                                                      ,TREBL                             , Forest / TrEBL    , N/A                                                      , Saldarriaga and Luxmoore                 ,1991,589,-999,-999,119,-999,                                                                                               ,
San Carlos de Rio Negro                                           , Venezuela          ,1.93,-67.05,6.4,                      N/A ,        N/A , X; oxisol                                              ,Forest/ tropical                  , Forest / TrEBL    , Aspidosperma spp.                                        , Jordan                                   ,1989,1540,1680,3220,100,-999,                                                                                               ,
San Carlos de Rio Negro                                           , Venezuela          ,1.93,-67.05,5.2,                      N/A ,        N/A , X; oxisol                                              ,Forest/ tropical                  , Forest / TrEBL    , Aspidosperma spp.                                        , Jordan and Uhl                           ,1978,1540,1680,3220,100,-999,                                                                                               ,
San Carlos de Rio Negro                                           , Venezuela          ,1.93,-67.05,3.2,                      N/A ,        N/A , X; bana (mean of 3 types)                              ,Forest/ tropical                  , Forest / TrEBL    , Catostemma spp.                                          , Bongers et al.                           ,1985,-999,-999,-999,100,-999,cited in Medina and Cuevas (1989)                                                              ,
San Carlos de Rio Negro                                           , Venezuela          ,1.93,-67.05,5.1,                      N/A ,        N/A , A; spodosol                                            ,Forest/ tropical                  , Forest / TrEBL    ," Eperua, Micrandra                                        ", Klinge and Herrera                       ,1978,1150,-999,-999,100,-999,Medina and Cuevas (1989) give LAI = 4.5                                                        ,
Fazenda Agroman                                                   , Brazil             ,-2.24,-60.27,4.07,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    ," Cecropia, Laetia                                         "," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,16,Biological Dynamics of Forest Fragments Project                                                ,
Fazenda Maringa                                                   , Brazil             ,-2.3,-60.31,3.71,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    ," Vismia, Cecropia                                         "," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,8,Biological Dynamics of Forest Fragments Project                                                ,
Fazenda Dimona                                                    , Brazil             ,-2.32,-60.32,        0.8-1.2 ,"     dry season, Oct/ Nov ",1990, A                                                      ,Grassland / Pasture               , Grassland         , Brachiaria decumbens                                     ," McWilliam, A.L-C. et al.                 ",1993,-999,-999,-999,-999,-999,                                                                                               ,
Fazenda Dimona                                                    , Brazil             ,-2.32,-60.32,3.45,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    , Cecropia                                                 ," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,2,Biological Dynamics of Forest Fragments Project                                                ,
Fazenda Porto Alegre                                              , Brazil             ,-2.33,-60.27,4.13,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    , Cecropia                                                 ," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,9,average of 5 stands; Biological Dynamics of Forest Fragments Project                           ,
Fazenda Esteio                                                    , Brazil             ,-2.34,-60.2,4.41,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    ," Vismia, Cecropia, Miconia                                "," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,9,average of 3 stands; Biological Dynamics of Forest Fragments Project                           ,
Fazenda Esteio                                                    , Brazil             ,-2.34,-60.2,3.86,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    ," Vismia, Bellucia                                         "," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,4,Biological Dynamics of Forest Fragments Project                                                ,
"kilometer 67, BR-174 N of Manaus                                  ", Brazil             ,-2.35,-60.3,4.46,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    ," Cecropia, Laetia                                         "," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,12,Biological Dynamics of Forest Fragments Project                                                ,
"kilometer 67, BR-174 N of Manaus                                  ", Brazil             ,-2.35,-60.3,3.54,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical regrowth        , Forest / TrEBL    ," Cecropia, Laetia                                         "," Honzak, M. et al.                        ",1996,-999,-999,-999,-999,7,Biological Dynamics of Forest Fragments Project                                                ,
"Highway 174 near Fazenda Dimona, Manaus                           ", Brazil             ,-2.5,-60.08,5.7,"     dry season, Oct/ Nov ",1990, A                                                      ,Forest / tropical rain            , Forest / TrEBL    , many                                                     ," McWilliam, A.L-C. et al.                 ",1993,-999,-999,-999,-999,-999,terra firme forest                                                                             ,
"Reserva Ducke, Manaus                                             ", Brazil             ,-2.95,-59.95,3.94,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical rain            , Forest / TrEBL    ," Miconia, Croton                                          "," Honzak, M. et al.                        ",1996,-999,-999,-999,80,30,Biological Dynamics of Forest Fragments Project                                                ,
"Reserva Ducke, Manaus                                             ", Brazil             ,-2.95,-59.95,4.79,                      N/A ,        N/A , E (hemispherical photos)                               ,Forest / tropical rain            , Forest / TrEBL    ," Miconia, Tapiria                                         "," Honzak, M. et al.                        ",1996,-999,-999,-999,80,21,Biological Dynamics of Forest Fragments Project                                                ,
"Fazenda Vitoria, Para                                             ", Brazil             ,-2.98,-47.52,2.5,                      N/A ,        N/A , X                                                      ,Grassland / tropical pasture      , Grassland         ," Panicum, Brachiaria                                      "," Jipp, P.H. et al.                        ",1998,-999,-999,-999,-999,-999,seasonal maximum value                                                                         ,
"Fazenda Vitoria, Para                                             ", Brazil             ,-2.98,-47.52,1.5,                      N/A ,        N/A , X                                                      ,Grassland / tropical pasture      , Grassland         ," Panicum, Brachiaria                                      "," Jipp, P.H. et al.                        ",1998,-999,-999,-999,-999,-999,seasonal minimum value                                                                         ,
"Fazenda Vitoria, Para                                             ", Brazil             ,-2.98,-47.52,5.4,                      N/A ,        N/A , X                                                      ,Forest / tropical rain            , Forest / TrEBL    ," Leguminosae, Sapotaceae                                  "," Jipp, P.H. et al.                        ",1998,-999,-999,-999,-999,-999,seasonal maximum value                                                                         ,
"Fazenda Vitoria, Para                                             ", Brazil             ,-2.98,-47.52,4.7,                      N/A ,        N/A , X                                                      ,Forest / tropical rain            , Forest / TrEBL    ," Leguminosae, Sapotaceae                                  "," Jipp, P.H. et al.                        ",1998,-999,-999,-999,-999,-999,seasonal minimum value                                                                         ,
"Fazenda Vitoria, Para                                             ", Brazil             ,-2.98,-47.52,4.5,                      N/A ,        N/A , X                                                      ,Forest / tropical regrowth        , Forest / TrEBL    ," Leguminosae, Sapotaceae                                  "," Jipp, P.H. et al.                        ",1998,-999,-999,-999,-999,-999,seasonal maximum value                                                                         ,
"Fazenda Vitoria, Para                                             ", Brazil             ,-2.98,-47.52,3.8,                      N/A ,        N/A , X                                                      ,Forest / tropical regrowth        , Forest / TrEBL    ," Leguminosae, Sapotaceae                                  "," Jipp, P.H. et al.                        ",1998,-999,-999,-999,-999,-999,seasonal minimum value                                                                         ,
"Tapajos Region, Amazon Basin                                      ", Brazil             ,-3.2,-54.6,     0.25 - 9.1 ,             wet and dry  ,        N/A , A + E                                                  ,Grassland / tropical pasture      , Grassland         ," Brachiaria, Pennisetum                                   "," Asner, G.P.                              ",1998,-999,-999,-999,-999,-999,Plant area index estimated from canopy reflectance; see Asner et al. 1999                      ,
Marchantaria                                                      , Brazil             ,-3.25,-60,4.75,                   August ,        N/A , A - max value                                          ,Wetland                           , Wetland           , Echinochloa polystachya                                  , Piedade                                  ,1992,9384,546,9930,30,1,                                                                                               ,
"Tapajos Region, Amazon Basin                                      ", Brazil             ,-3.5,-55.3,      3.8 - 7.1 ,       wet and dry season ,        N/A , A + E                                                  ,Forest / tropical moist           , Forest / TrEBL    , many                                                     ," Asner, G.P.                              ",1998,-999,-999,-999,-999,-999,unpublished data cited                                                                         ,
Marafunga                                                         , Papua New Guinea   ,-6,145.18,5.5,                      N/A ,        N/A , SLA x wt. (Trees 3.5 + undst 2.0)                      ,Forest / tropical rain            , Forest / TrEBL    , Dacrycarpus cinctus                                      ," Edwards, P.J.                            ",1977,2000,350,2350,2450,-999,                                                                                               ,
Lubumbashi                                                        , Congo (D.R.)       ,-11.48,27.6,3.47,                      N/A ,  1968-1972 , X                                                      ,Forest / TrBLD                    , Forest / TrDBL    , Marquesia macroura                                       ," Malaisse, F. et al.                      ",1972,1110,150,1260,1208,120,                                                                                               ,
N/A                                                               , Australia          ,-18.7,146.2,6.5,                      N/A ,1996, X                                                      ,CROPS                             , Crops             , sugarcane                                                , Robertson et al.                         ,1996,6357,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-18.7,146.2,7.3,                      N/A ,1996, X                                                      ,CROPS                             , Crops             , sugarcane                                                , Robertson et al.                         ,1996,6000,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-18.7,146.2,8.7,                      N/A ,1996, X                                                      ,CROPS                             , Crops             , sugarcane                                                , Robertson et al.                         ,1996,5785,-999,-999,-999,-999,                                                                                               ,
Nylsvley                                                          , South Africa       ,-24.6,28.7,1,                      N/A ,        N/A , X                                                      ,Savanna                           , Grassland         , N/A                                                      ," Rutherford, M.C.                         ",1979,-999,-999,-999,-999,-999,                                                                                               ,
Nylsvley                                                          , South Africa       ,-24.6,28.7,0.9,                      N/A ,        N/A , X                                                      ,Savanna                           , Grassland         , N/A                                                      ," Rutherford, M.C.                         ",1979,-999,-999,-999,-999,-999,                                                                                               ,
Nylsvley                                                          , South Africa       ,-24.6,28.7,0.7,                      N/A ,        N/A , X                                                      ,Savanna                           , Grassland         , N/A                                                      ," Rutherford, M.C.                         ",1979,-999,-999,-999,-999,-999,                                                                                               ,
Nylsvley                                                          , South Africa       ,-24.6,28.7,0.7,                      N/A ,        N/A , X                                                      ,Savanna                           , Grassland         , N/A                                                      ," Rutherford, M.C.                         ",1979,-999,-999,-999,-999,-999,                                                                                               ,
Nylsvley                                                          , South Africa       ,-24.6,28.7,0.6,                      N/A ,        N/A , X                                                      ,Savanna                           , Grassland         , N/A                                                      ," Rutherford, M.C.                         ",1979,-999,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.5,155.5,2.46,                      N/A ,1981, X                                                      ,TREBL                             , Forest / TrEBL    , N/A                                                      ," Rogers, et al.                           ",1981,1789,826,2642,100,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.52,153.32,4.19,                      N/A ,1993, X                                                      ,CROPS                             , Crops             , corn                                                     ," Watiki, J.M. et al.                      ",1993,471,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.52,153.32,3.5,                      N/A ,1993, X                                                      ,CROPS                             , Crops             , corn                                                     ," Watiki, J.M. et al.                      ",1993,251,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.52,153.32,2.06,                      N/A ,1993, X                                                      ,CROPS                             , Crops             , corn                                                     ," Watiki, J.M. et al.                      ",1993,171,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.52,153.32,1.25,                      N/A ,1993, X                                                      ,CROPS                             , Crops             , corn                                                     ," Watiki, J.M. et al.                      ",1993,110,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.52,153.32,3.94,                      N/A ,1993, X                                                      ,CROPS                             , Crops             , cow peas                                                 ," Watiki, J.M. et al.                      ",1993,1493,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.52,153.32,3.25,                      N/A ,1993, X                                                      ,CROPS                             , Crops             , cow peas+corn                                            ," Watiki, J.M. et al.                      ",1993,1404,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Australia          ,-27.52,153.32,2.31,                      N/A ,1993, X                                                      ,CROPS                             , Crops             , intercrop                                                ," Watiki, J.M. et al.                      ",1993,1244,-999,-999,-999,-999,                                                                                               ,
"Frankston, Vic.                                                   ", Australia          ,-30,134,2.5,                      N/A ,  1964-1966 , A; average value for 2 years                           ,Wetland / heath                   , Wetland           , Leptospermum myrsinoides                                 ," Jones, R.                                ",1968,308,5828,6136,-999,-999,doubtful BNPP; LAI dynamics available                                                          ,
Perth                                                             , Australia          ,-31.95,115.87,3.44,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Yunusa, I.A.M. et al.                    ",1993,677,-999,-999,-999,-999,                                                                                               ,
Perth                                                             , Australia          ,-31.95,115.87,1.55,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Yunusa, I.A.M. et al.                    ",1993,427,-999,-999,-999,-999,                                                                                               ,
Perth                                                             , Australia          ,-31.95,115.87,1.2,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Yunusa, I.A.M. et al.                    ",1993,405,-999,-999,-999,-999,                                                                                               ,
Perth                                                             , Australia          ,-31.95,115.87,1.89,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Yunusa, I.A.M. et al.                    ",1993,392,-999,-999,-999,-999,                                                                                               ,
Perth                                                             , Australia          ,-31.95,115.87,1.75,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Yunusa, I.A.M. et al.                    ",1993,364,-999,-999,-999,-999,                                                                                               ,
Perth                                                             , Australia          ,-31.95,115.87,2.22,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Yunusa, I.A.M. et al.                    ",1993,360,-999,-999,-999,-999,                                                                                               ,
"Karragullen, 30 km SE of Perth                                    ", Australia          ,-32,116,2.5,                      N/A ,        N/A , A and C                                                ,Jarrah Forest                     , Forest / TeEBL    , Eucalyptus marginata                                     ," Crombie, D.S.                            ",1992,-999,-999,-999,-999,-999,Havel 'S' type site (more mesic)                                                               ,
"Watershed Road, 70 km SE of Perth                                 ", Australia          ,-32,116,1.2,                      N/A ,        N/A , A and C                                                ,Jarrah Forest                     , Forest / TeEBL    , Eucalyptus marginata                                     ," Crombie, D.S.                            ",1992,-999,-999,-999,-999,-999,Havel 'Z' type site (more xeric)                                                               ,
"Darling Range, Perth                                              ", Australia          ,-32.33,116,      2.3 - 2.6 ,                    March ,1975, X                                                      ,Native forest                     , Forest / TeEBL    , Eucalyptus microcorys                                    ," Carbon, B.A. et al.                      ",1981,-999,-999,-999,-999,-999,"see Carbon, Bartle and Murry (1975) for methodology?                                           ",
Buenos Aires                                                      , Argentina          ,-33.55,-60.95,3.5,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Trapini, N. et al.                       ",1992,1062,170,1232,-999,-999,                                                                                               ,
Buenos Aires                                                      , Argentina          ,-33.55,-60.95,3.5,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Trapini, N. et al.                       ",1992,1062,134,1196,-999,-999,                                                                                               ,
Buenos Aires                                                      , Argentina          ,-33.55,-60.95,5.1,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Trapini, N. et al.                       ",1992,1460,-999,-999,-999,-999,                                                                                               ,
Buenos Aires                                                      , Argentina          ,-33.55,-60.95,5.8,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Trapini, N. et al.                       ",1992,1266,-999,-999,-999,-999,                                                                                               ,
Buenos Aires                                                      , Argentina          ,-33.55,-60.95,5.2,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Trapini, N. et al.                       ",1992,1147,-999,-999,-999,-999,                                                                                               ,
Rojas                                                             , Argentina          ,-34.13,-60.98,5.04,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 ," Maddonni, G.A. and M.E. Otegui           ",1996,-999,-999,-999,-999,-999,                                                                                               ,
Rojas                                                             , Argentina          ,-34.13,-60.98,5.03,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 ," Maddonni, G.A. and M.E. Otegui           ",1996,-999,-999,-999,-999,-999,                                                                                               ,
Rojas                                                             , Argentina          ,-34.13,-60.98,4.73,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 ," Maddonni, G.A. and M.E. Otegui           ",1996,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,3.46,            25th February ,1988, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,3.19,           18th September ,1987, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,3.97,              1st October ,1986, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,4.95,            19th February ,1986, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,3.4,                24th June ,1985, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,3.44,              11th August ,1985, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,3.94,                 7th July ,1984, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,2.22,                13th July ,1983, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,3.25,            12th December ,1982, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,2.5,                30th June ,1981, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,0.8,              1st January ,1981, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,2.54,              28th August ,1980, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,                                                                                               ,
"Kioloa State Forest, NSW                                          ", Australia          ,-35.35,150.18,2.87,                29th July ,1979, A                                                      ,Forest / mixed eucalyptus         , Forest / TeEBL    , Eucalyptus maculata and others                           ," Coops N., et al.                         ",1997,-999,-999,-999,-999,-999,selectively logged in 1961                                                                     ,
"Mt.Disappointment, Victoria                                       ", Australia          ,-37.42,145.17,4.2,                      N/A ,1966, X                                                      ,TEEBL                             , Forest / TeEBL    , Eucalyptus obliqua                                       ," Attiwill, P.M.                           ",1966,1079,-999,-999,545,  45-60 ,                                                                                               ,
"Mt.Disappointment, Victoria                                       ", Australia          ,-37.42,145.17,5.4,                      N/A ,1977, A/B                                                    ,Forest / MeBLE                    , Forest / TeEBL    , Eucalyptus obliqua                                       ," Attiwill, P.M.                           ",1979,1000,-999,-999,545,66,                                                                                               ,
"Mt.Disappointment, Victoria                                       ", Australia          ,-37.42,145.17,4.9,                      N/A ,1972, A/B                                                    ,Forest / MeBLE                    , Forest / TeEBL    , Eucalyptus obliqua                                       ," Attiwill, P.M.                           ",1979,1090,-999,-999,545,61,ANPP estimated from text                                                                       ,
"Mt.Disappointment, Victoria                                       ", Australia          ,-37.42,145.17,4.1,                      N/A ,  1955-1972 , A/B                                                    ,Forest / MeBLE                    , Forest / TeEBL    , Eucalyptus obliqua                                       ," Attiwill, P.M.                           ",1981,852,148,1000,545,51,Average value reported to IBP                                                                  ,
"Mt.Disappointment, Victoria                                       ", Australia          ,-37.42,145.17,4.2,                      N/A ,1962, A/B                                                    ,Forest / MeBLE                    , Forest / TeEBL    , Eucalyptus obliqua                                       ," Attiwill, P.M.                           ",1979,1270,-999,-999,545,51,ANPP estimated from text                                                                       ,
"Mt.Disappointment, Victoria                                       ", Australia          ,-37.42,145.17,3.3,                      N/A ,1955, A/B                                                    ,Forest / MeBLE                    , Forest / TeEBL    , Eucalyptus obliqua                                       ," Attiwill, P.M.                           ",1979,1400,-999,-999,545,44,                                                                                               ,
"Beenak, Vic.                                                      ", Australia          ,-37.49,144.58,9,                      N/A ,  1963-1969 , 6 (tree) + 3 (understory)                              ,Forest                            , Forest / TeEBL    , Eucalyptus regnans                                       ," Ashton, D.H.                             ",1976,-999,-999,-999,525,27,                                                                                               ,
"Big Bush, Nelson                                                  ", New Zealand        ,-41.52,172.75,7.4,                      N/A ,  1982-1984 , C                                                      ,TEEBL                             , Forest / TeEBL    , Nothofagus truncata                                      ," Benecke, U. and G. Evans                 ",1987,1370,630,2000,600,-999,                                                                                               ,
Craigieburn Range                                                 , New Zealand        ,-43.13,171.68,6.7,                    March ,1987, A                                                      ,Forest/ temp EG                   , Forest / TeEBL    , Nothofagus solandri                                      ," Hollinger, D.Y.                          ",1989,-999,-999,-999,900,  70-90 ,"leaf type planophile, leaf angles 17,22,43 degrees, orientation 315,355,345 degrees            ",
Craigieburn Range                                                 , New Zealand        ,-43.15,171.72,23.4,                      N/A ,1982, C; all-sided (needleleaf)                              ,TEENL                             , Forest / TeENL    , Pinus contorta                                           ," Benecke, U. and A.H. Nordmeyer           ",1982,1800,720,2520,1320,23,subalpine lodgepole pine                                                                       ,
Craigieburn Range                                                 , New Zealand        ,-43.15,171.72,35.7,                      N/A ,1982, C; all-sided (needleleaf)                              ,TEENL                             , Forest / TeENL    , Pinus contorta                                           ," Benecke, U. and A.H. Nordmeyer           ",1982,3180,960,4140,1050,20,montane lodgepole pine                                                                         ,
Craigieburn Range                                                 , New Zealand        ,-43.15,171.72,4.15,                      N/A ,1982, C; one-sided                                           ,TEEBL                             , Forest / TeEBL    , Nothofagus solandri                                      ," Benecke, U. and A.H. Nordmeyer           ",1982,1300,500,1800,1320,52,subalpine mountain beech                                                                       ,
Craigieburn Range                                                 , New Zealand        ,-43.15,171.72,8.9,                      N/A ,1982, C; one-sided                                           ,TEEBL                             , Forest / TeEBL    , Nothofagus solandri                                      ," Benecke, U. and A.H. Nordmeyer           ",1982,2800,560,3360,1000,52,montane mountain beech                                                                         ,
Lincoln                                                           , New Zealand        ,-43.63,172.5,7.9,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Hordeum vulgare                                          , Jamieson et al.                          ,1995,1654,-999,-999,-999,-999,                                                                                               ,
Lincoln                                                           , New Zealand        ,-43.63,172.5,8.25,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Hordeum vulgare                                          , Jamieson et al.                          ,1995,1590,-999,-999,-999,-999,                                                                                               ,
Lincoln                                                           , New Zealand        ,-43.63,172.5,7.25,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Hordeum vulgare                                          , Jamieson et al.                          ,1995,1505,-999,-999,-999,-999,                                                                                               ,
